"a_sat","a_frust","b_sat","b_frust","c_sat","c_frust"
3.81338060396518,3.37870460625935,9.32003357577829,0,4.05402284771563,2.62223405241665
2.63848811889335,4.45022600052103,3.35677119049361,4.24620043768271,3.45072768082924,6.41435661023271
6.17192308970863,2.08700335953869,5.87833205492759,2.47969070914428,2.04570204517633,6.60678795823096
7.05039904120987,0.396608130159001,5.16036188166128,3.27795633260503,1.60244945178317,4.74757543917817
9.67827790309066,3.95305204918441,3.70550517175582,4.2889422136883,6.74008577816609,7.65775718870031
4.31460133909714,4.63724826813423,2.27630627344258,4.82764508464301,5.78219509435887,3.88182607338456
7.96301963839654,3.0928271172269,9.50340086726709,3.06626593369039,8.02637992961665,4.67200217816617
7.25697525270752,1.28487642848265,0,8.15342325818822,6.85234740291526,3.76045448754418
10,1.33390474556866,8.7089724674243,4.06120864033354,7.74770680297934,2.53624480079657
3.09531561331175,5.83842201230924,4.42193044260328,2.66554800328857,4.61244656637508,4.42754406863022
10,2.49493492150624,5.37270939939247,2.10938309878165,4.46782313947447,3.96492061478099
8.45664358936918,2.66348647564963,9.17918696509462,1.69881350061514,10,1.47633823689654
0,6.68650599014085,2.89613632367161,5.5741737217712,2.49004851774017,6.63249491537881
7.18200632004386,5.17911970363822,3.52051426508029,5.95838092544157,3.86587157596285,6.06077697294881
4.14480955403976,5.2232230769708,5.88506421235662,4.64814581281783,3.74276660583083,5.36013204448132
5.49149311922421,3.41973281386417,3.46557167950668,6.20832208907585,7.36563887105567,0.443524412973229
5.34772288522476,8.02606988388601,2.1602327415587,5.72594152485499,8.83092261738488,4.63696555056087
0,7.81355901745579,0,10,2.98874893070677,3.72308662425878
2.51093213537456,10,3.93464430574322,10,2.18392238308237,9.42492109800672
8.77037890604695,3.88838772961294,7.53538927213233,2.78694470366016,8.09474796593215,4.81518045547052
1.65057512985848,5.94482278719346,4.90809886284101,1.64607605356224,4.86560419772906,6.95942562666715
3.46954297605782,8.57262661477185,0,6.06922171674515,1.85478316028322,7.58744633873204
5.58443103353131,5.80042224712964,4.92563312755119,1.38697000724259,2.70965571759122,7.99968793208013
3.69051724165366,4.69376239003924,9.17013257965976,0.0198258801448703,4.77379739882192,1.79165264915695
6.49268896097244,1.31905930682894,8.12993855849897,3.31747142796209,9.29569520666053,1.00787815123416
1.88606310311926,6.91038596486553,6.6900148458748,6.7567081629813,5.49622345844218,4.40903272985665
3.29667480597547,7.01068022139216,3.93085835243059,7.01246929733149,7.59879597886782,2.85540021304912
2.06216385065293,10,5.75833462354729,8.10588163152772,3.92928814962807,7.44655982870389
5.36097791731633,4.24444054414023,3.71639196712272,5.29769894729888,8.11604494710322,2.93357073286599
4.27199908220678,4.6673963317044,0.86809828189667,6.42653997106915,5.11357949020345,5.18012477597405
4.09884660674609,2.65906532388227,5.14128969598232,3.73031717933793,4.38276043872626,3.21118436090766
5.93828388366791,2.68458160995881,5.82545345633638,3.79705216268461,4.71611999552632,3.48890803826247
7.49737994802969,2.64175015278938,3.72797350789364,0.313987597324429,4.67108505767052,3.40112924201147
5.46979808211473,6.62884561865692,5.82960563741374,7.08609821822424,3.6976783656648,7.00870305585916
4.85545869223349,4.01302181410557,5.3499639924643,4.7201343988824,8.37051719532836,4.68610478268224
3.00652891697668,9.330653099764,1.54230349221206,7.672108727163,2.43055842000068,6.34734445322613
3.69377686315126,5.64881185745063,4.81982368884398,2.88005637359414,0.96465863418395,8.93951308665494
0.256119412438083,5.75860376179392,3.66380763359967,7.01194214978285,5.1497127787916,4.42318472352782
3.54835823545694,10,1.8933519493041,10,6.73360535633503,9.79728467341866
4.63325672603013,7.14792907996879,4.06884473001253,5.26634737835209,9.6108123437793,4.88963666193945
8.96027234164426,3.71622865324752,4.75585500011429,6.81464381329755,5.21915003687604,6.21114430175564
5.89787756125007,4.80574027452136,2.12290386077292,5.55243869438976,6.15404031843352,6.99344290702344
8.97547091113257,3.72640727471896,4.27464347871043,5.32739800576362,6.5958506228763,3.31401336826054
8.09448475760804,5.53624803627605,1.06828206260264,10,6.72973727801844,6.19130892272615
2.37272204355289,6.21487415937937,6.5394635583811,9.15325997260664,1.06625290583124,7.89804690043827
4.89953213195633,3.0908806349356,8.26995799320763,4.38004053312939,5.54340510698755,7.13080971643668
5.17418591207176,5.01666799029869,1.56037075734426,5.30843118756214,2.93623704557748,7.22890615133872
9.57456133174663,2.59348986083574,8.15192440676798,4.54896263941388,8.14017733137229,4.57753371982631
3.36434217453689,2.50879213661112,1.74898279402828,6.56566431019723,4.37600350856442,4.67367896679119
7.23886958968147,6.43033595537254,8.78929079193652,4.09412842608104,6.93976040126277,5.8667525583313
4.50387198567207,5.39461927404668,4.49659396655199,2.57412746668145,6.78685533690783,4.65685933369764
1.72399849017323,7.16426654575711,6.23255314269291,7.46468504768503,4.3772479558444,5.15092830006413
9.87548307395882,2.8455902043324,7.27437246511201,2.46340432386764,4.67468214112442,1.69624148610878
4.1492530683358,2.99872493627701,5.70267049633264,2.41672566813239,5.03830758458314,3.62721748763017
2.14050421037988,8.40109051017874,3.65277531364331,1.97082194236347,7.93162668798347,2.30119745817431
6.77610122032801,5.72488539245039,8.14951016916102,4.59466402707164,5.17254930561575,7.01857149434901
6.95671247258269,7.70870571191635,7.94884255517462,2.44212451640465,8.53012923997263,6.30679750573939
3.5103989647861,3.86190360843246,4.94414840935686,0.776674106248962,1.92733669840802,5.56058007311528
0,10,0.0757900710964717,10,3.93225629014108,8.93483042438521
2.47392507248945,5.02324305180202,7.5371076939584,2.76176861650396,3.70088173958593,3.62157406429756
6.35891387850775,4.80095239364312,3.50815613230727,5.71416490178601,3.67178240063754,6.56302585217153
4.49559603080703,6.50110849254523,4.43128068328266,3.37578525301522,7.8404676744605,4.8100265073712
3.57030530434294,4.6767814142038,3.87737742749752,1.63572460648462,8.39278136918149,3.81823838177334
6.57650795810143,3.72645914531913,6.10429845757503,2.20322148565036,9.83927020608945,2.85869120646782
10,4.40221258943139,1.11991135484347,9.82302903278238,4.29746881858396,10
8.14958055168363,3.86139853560718,4.0211196778187,1.51463605897599,5.59151863295016,0.139193811763811
2.93953034634299,5.63690946162747,5.74101482327821,4.61160116889638,7.15242844450843,2.25765054255933
9.14384995531164,2.91424222395318,4.01085133022293,5.20190660377015,8.75462758201201,3.40786332909687
6.73506003858216,2.9530537480536,7.98201376487428,3.24577529192172,5.02070721422333,4.9006254480563
6.64278064762149,2.99228216233667,6.52153068376112,5.92011921602581,6.13112239244127,3.4101242106861
5.57630348606553,5.1931488059169,4.68973896243488,4.12233185695736,0,10
5.73437063253036,3.61892526926521,3.77922972896409,3.45248998941169,3.75659449574005,7.25498606198602
6.77097995114928,3.46454397805481,4.34714820756916,4.20345176768693,7.70415336565394,4.9216970900485
1.55570302621745,6.87326582022612,4.58604999969929,7.20383849909172,4.60984054640877,5.71412719483901
4.59696066782272,7.4547262984634,4.24775620221748,4.37144356712101,5.75728558960578,7.71861804710184
5.29345991699042,6.39430449368899,9.13539963765118,4.24928313474846,4.9443136292123,3.24197838457725
7.70580022181696,2.41614148983597,6.03819405852953,4.17100642437636,4.64169347095968,4.59989820354893
7.86635967787011,7.23670807264725,5.40783592152298,8.53522981775133,10,2.19417135362031
3.59166472159616,7.55601998014572,1.72505769698058,7.88164797804408,7.44966939372319,5.23455895759967
4.93973022940669,8.90166720996229,2.03647176573439,7.53305567595018,5.38562661255935,6.02296394321441
